fragment_smiles,source_label,n_conformers
O=C1CC[C@@H](C[*:1])O1,ZINC000043482214,5
O=C1CC[C@@H]([*:1])O1,ZINC000043482214,1
C1CCC(O[*:1])CC1,ZINC000085568597,3
Cc1cc([*:1])no1,ZINC000090693835,1
Nc1ccc([*:1])cc1,ZINC000090693835,1
O=CN[*:1],ZINC000000895844,1
C/C(=C\[*:1])CO,ZINC000257549391,3
C/C(=C\C[*:1])CO,ZINC000257549391,5
C/C(=C\CC[*:1])CO,ZINC000257549391,8
OC[C@H](O)[C@@H](O)[*:1],ZINC000018006959,6
O=C(O)[C@@H](CO)[*:1],ZINC000015115327,6
C[C@@](O)(CO)[C@@H](O)[*:1],ZINC000257567289,6
C[C@@](O)(CO)[*:1],ZINC000257567289,3
O=C(NC1CC1)[*:1],ZINC000008791596,1
C=C(C(C)C)[*:1],ZINC000253641646,3
C=C(C[*:1])C(C)C,ZINC000253641646,6
C=C(CC[*:1])C(C)C,ZINC000253641646,7
O=P(O)(O)O[*:1],ZINC000004095596,1
C1C[S+]1C[*:1],ZINC000005134801,3
C1C[S+]1[*:1],ZINC000005134801,1
C[C@@H](O)[C@H](C(=O)O)[*:1],ZINC000005274098,6
CSC[C@@H](C(=O)O)[*:1],ZINC000015261465,9
CC(C)NC(=O)N[*:1],ZINC000077264841,1
C1CC(N[*:1])C1,ZINC000077264841,4
O=C/C=C/[*:1],ZINC000015113293,2
O=C1CCC=C1[*:1],ZINC000096300864,1
C[C@H](C=O)[C@@H](S)C[*:1],ZINC000032165383,6
C[C@H](C=O)[C@@H](S)[*:1],ZINC000032165383,5
CC[C@@H]([C@H](C)C=O)[*:1],ZINC000032165383,9
CC[C@H](S)[*:1],ZINC000032165383,3
C[C@H](C=O)[*:1],ZINC000032165383,2
CC[C@H](S)[C@@H](C=O)[*:1],ZINC000032165383,5
CC[C@H](S)[C@H](C)[*:1],ZINC000032165383,7
NCCCNCC[*:1],ZINC000002020054,9
NCCCNC[*:1],ZINC000002020054,10
NCCCCC[*:1],ZINC000002020054,9
NCCCN[*:1],ZINC000002020054,5
NCCCCCN[*:1],ZINC000002020054,10
C/C=C\[S@@](=O)[*:1],ZINC000014679906,4
C/C=C/SS[*:1],ZINC000014679906,4
C=CC/C=C/[*:1],ZINC000014592782,4
C=CC/C=C/C[*:1],ZINC000014592782,7
c1csc(C[*:1])c1,ZINC000169768443,4
c1csc([*:1])c1,ZINC000169768443,1
NC(=O)C[C@H](N)[*:1],ZINC000040473158,4
CC[C@@H](C)[C@@H](N)[*:1],ZINC000005662849,6
CC(C)[C@@H](C(=O)O)[*:1],ZINC000005662849,6
Cc1csc([*:1])n1,ZINC000002105846,1
CCOC(=O)[C@H](C)[*:1],ZINC000002105846,6
C[C@@H]1N[C@@H]([*:1])SCS1,ZINC000013460368,2
CC(C)CC(=O)O[*:1],ZINC000086001872,5
CC(=O)/C=C/C[*:1],ZINC000004025943,4
COC(=O)[C@@H](C)[*:1],ZINC000001532071,3
CCCS[*:1],ZINC000015261393,6
CCCSC[*:1],ZINC000015261393,8
CC(=O)OCC[*:1],ZINC000002389359,7
CC(=O)S[*:1],ZINC000002389359,2
COCC(=O)N[*:1],ZINC000005438697,4
NCCCC[C@H](N)[*:1],ZINC000004556738,10
OCCC[C@@H](CO)[*:1],ZINC000085569351,7
C1CCC(N[*:1])CC1,ZINC000085569351,4
C[C@@H](CO)[*:1],ZINC000100778662,2
COCCC[*:1],ZINC000049829582,4
CSSCCCC[*:1],ZINC000014649287,10
CSSCCC[*:1],ZINC000014649287,9
CSSCC[*:1],ZINC000014649287,7
CSSC[*:1],ZINC000014649287,5
CSS[*:1],ZINC000014649287,2
CCCCCSS[*:1],ZINC000014649287,10
C/C=C\C(=O)O[*:1],ZINC000013380324,2
C/C=C\C(=O)OC[*:1],ZINC000013380324,4
OCCO[*:1],ZINC000085595782,5
O=C/C=C/C=C/C[*:1],ZINC000001850709,5
O=C/C=C/C=C/[*:1],ZINC000001850709,2
CC(C)CCNC[*:1],ZINC000085488592,8
CC(C)CCN[*:1],ZINC000085488592,5
CC1=N[C@@H]([*:1])S[C@H]1C,ZINC000029786595,2
c1nc(CC[*:1])c[nH]1,ZINC000014681995,5
CC1=CC[C@H]([*:1])CC1,ZINC000252695157,3
CC1(C)O[C@H]1C[*:1],ZINC000015104253,2
CC1(C)O[C@H]1[*:1],ZINC000015104253,1
C[C@@H](CC(=O)O)[*:1],ZINC000014447342,4
C[C@@H](CC(=O)O)C[*:1],ZINC000014447342,10
O=C[C@@H](O)[*:1],ZINC000230096241,2
