framework_scaffold	count
c1ccc2c(c1)c(c[nH]2)CCNCCOc3ccc4c(c3)OCC=C4	20
C1CCO[C@H](C1)O[C@H]2CC[C@@H]3[C@H]4CC[C@@H]5C[C@H](C[C@@H]5[C@@H]4CC=C3C2)O[C@@H]6CCCCO6	20
C1C=NCS1	20
C1C[C@H](OC1)CCCCCCCCCC2=CCOC2	20
C1CC[C@]2(CC[C@@H]3[C@H]4CC[C@H]5C[C@H](CC[C@H]5[C@H]4CC=C3[C@@H]2C1)O[C@H]6C[C@H]7[C@@H](CO6)OCCO7)CO[C@@H]8CCCCO8	20
C1[C@H]2C[C@@H](C2)C=C1	20
c1coc2c1C[C@H]3CCCC[C@H]3C2	20
C1C[C@H]2C[C@H](C1)OC2	20
C1CCO[C@@H](C1)OC[C@@H]2CC[C@@H]3[C@@H]2CC[C@H]4[C@@H]3CC[C@@H]5[C@H]4CC[C@@H](C5)O[C@H]6CCCCO6	20
c1ccc(cc1)[C@H]2c3c(c4ccccc4[nH]3)C[C@@H]5N2CCNC5	20
C1C[C@@H](OC1)CCCCCCCC2=CCOC2	20
c1ccc2c(c1)C=CCN2	20
c1ccc2c(c1)c3ccc4c(c3[nH]2)C=CCO4	20
C1C[C@@H]2CC[C@@H](C1)N2	20
c1ccc(cc1)/C=C\c2ccccc2	20
c1ccc2c(c1)cccn2	20
c1ccc(cc1)C2=C(Cc3ccccc3O2)O[C@H]4CCC[C@H](O4)CO[C@H]5CCCCO5	20
C1CCO[C@H](C1)O[C@@H]2CC[C@H](OC2)O[C@H]3CC[C@@H]4[C@H](C3)CC[C@H]5[C@H]4CC[C@@H]6[C@@H]5C[C@@H]7[C@H]6C[C@@]8(O7)CCCCO8	20
C1CC[C@@H]2CCC[C@@H]2CC1	20
C1CC=CNC1	20
C1C[C@@H]2[C@H]3CC[C@@H]([C@@]34CO4)O[C@H]2C=C1	20
C1CC[C@@H]2[C@H](C1)[C@H]3CC[C@@H]4CCC[C@@H]4[C@@H]3C[C@@H]2O[C@@H]5[C@H](CCCO5)O[C@H]6CCCCO6	20
c1ccc2c(c1)NC[C@@H](O2)O[C@@H]3CCCCO3	20
C1CC[C@H]2[C@@H](C1)CC[C@@H]3[C@@H]2CC[C@H]4[C@@H]3CCC4	20
